Station,Year,Month,monthly_rainfall
Bogra,1948,1,0.0
Bogra,1948,2,5.0
Bogra,1948,3,3.0
Bogra,1948,4,110.0
Bogra,1948,5,297.0
Bogra,1948,6,0.0
Bogra,1948,7,271.0
Bogra,1948,8,424.0
Bogra,1948,9,223.0
Bogra,1948,10,304.0
Bogra,1948,11,22.0
Bogra,1948,12,0.0
Comilla,1948,1,0.0
Comilla,1948,2,194.0
Comilla,1948,3,43.0
Comilla,1948,4,293.0
Comilla,1948,5,240.0
Comilla,1948,6,619.0
Comilla,1948,7,1045.0
Comilla,1948,8,347.0
Comilla,1948,9,388.0
Comilla,1948,10,219.0
Comilla,1948,11,14.0
Comilla,1948,12,0.0
Cox's Bazar,1948,1,3.0
Cox's Bazar,1948,2,0.0
Cox's Bazar,1948,3,0.0
Cox's Bazar,1948,4,200.0
Cox's Bazar,1948,5,424.0
Cox's Bazar,1948,6,827.0
Cox's Bazar,1948,7,969.0
Cox's Bazar,1948,8,958.0
Cox's Bazar,1948,9,274.0
Cox's Bazar,1948,10,189.0
Cox's Bazar,1948,11,46.0
Cox's Bazar,1948,12,0.0
Dinajpur,1948,1,0.0
Dinajpur,1948,2,0.0
Dinajpur,1948,3,0.0
Dinajpur,1948,4,71.0
Dinajpur,1948,5,244.0
Dinajpur,1948,6,285.0
Dinajpur,1948,7,442.0
Dinajpur,1948,8,362.0
Dinajpur,1948,9,231.0
Dinajpur,1948,10,236.0
Dinajpur,1948,11,39.0
Dinajpur,1948,12,0.0
Faridpur,1948,1,3.0
Faridpur,1948,2,76.0
Faridpur,1948,3,35.0
Faridpur,1948,4,245.0
Faridpur,1948,5,324.0
Faridpur,1948,6,402.0
Faridpur,1948,7,359.0
Faridpur,1948,8,410.0
Faridpur,1948,9,108.0
Faridpur,1948,10,481.0
Faridpur,1948,11,42.0
Faridpur,1948,12,0.0
Jessore,1948,1,0.0
Jessore,1948,2,0.0
Jessore,1948,3,0.0
Jessore,1948,4,0.0
Jessore,1948,5,0.0
Jessore,1948,6,0.0
Jessore,1948,7,0.0
Jessore,1948,8,379.0
Jessore,1948,9,115.0
Jessore,1948,10,0.0
Jessore,1948,11,0.0
Jessore,1948,12,0.0
Khulna,1948,1,5.0
Khulna,1948,2,116.0
Khulna,1948,3,164.0
Khulna,1948,4,129.0
Khulna,1948,5,82.0
Khulna,1948,6,68.0
Khulna,1948,7,317.0
Khulna,1948,8,112.0
Khulna,1948,9,120.0
Khulna,1948,10,111.0
Khulna,1948,11,0.0
Khulna,1948,12,0.0
Mymensingh,1948,1,0.0
Mymensingh,1948,2,21.0
Mymensingh,1948,3,35.0
Mymensingh,1948,4,176.0
Mymensingh,1948,5,537.0
Mymensingh,1948,6,354.0
Mymensingh,1948,7,513.0
Mymensingh,1948,8,373.0
Mymensingh,1948,9,432.0
Mymensingh,1948,10,339.0
Mymensingh,1948,11,26.0
Mymensingh,1948,12,0.0
Satkhira,1948,1,41.0
Satkhira,1948,2,143.0
Satkhira,1948,3,48.0
Satkhira,1948,4,60.0
Satkhira,1948,5,106.0
Satkhira,1948,6,234.0
Satkhira,1948,7,363.0
Satkhira,1948,8,384.0
Satkhira,1948,9,117.0
Satkhira,1948,10,308.0
